"taxa_id" "W" "detected_0.9" "detected_0.8" "detected_0.7" "detected_0.6"
"1" "k__Bacteria;__;__;__;__;__" 35 FALSE FALSE TRUE TRUE
"2" "k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces" 41 FALSE TRUE TRUE TRUE
"3" "k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia" 38 FALSE TRUE TRUE TRUE
"4" "k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium" 47 TRUE TRUE TRUE TRUE
"5" "k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella" 34 FALSE FALSE TRUE TRUE
"6" "k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides" 47 TRUE TRUE TRUE TRUE
"7" "k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides" 38 FALSE TRUE TRUE TRUE
"8" "k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella" 38 FALSE TRUE TRUE TRUE
"9" "k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__" 39 FALSE TRUE TRUE TRUE
"10" "k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus" 44 TRUE TRUE TRUE TRUE
"11" "k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus" 41 FALSE TRUE TRUE TRUE
"12" "k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus" 37 FALSE FALSE TRUE TRUE
"13" "k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus" 46 TRUE TRUE TRUE TRUE
"14" "k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter" 37 FALSE FALSE TRUE TRUE
"15" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;__;__" 44 TRUE TRUE TRUE TRUE
"16" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__" 41 FALSE TRUE TRUE TRUE
"17" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;__" 43 TRUE TRUE TRUE TRUE
"18" "k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__" 42 FALSE TRUE TRUE TRUE
